#  Timestep    No_Moles    No_Specs   Si192O384           H
       1700           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1705           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1710           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1715           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1720           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1725           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1730           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1735           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1740           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1745           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1750           3           2           1           2
